CH06,HORASTRAB,POBRE,CH04_2,NIVEL_ED_2,NIVEL_ED_3,NIVEL_ED_4,NIVEL_ED_5,NIVEL_ED_6,NIVEL_ED_7,ESTADO_2,ESTADO_3,ESTADO_4,CAT_OCUP_1.0,CAT_OCUP_2.0,CAT_OCUP_3.0,CAT_OCUP_4.0,CAT_OCUP_9.0
28.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46.0,40.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
30.0,40.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
25.0,40.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
24.0,40.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
23.0,40.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
14.0,40.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42.0,49.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
9.0,49.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32.0,45.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
31.0,45.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
22.0,49.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
49.0,49.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
69.0,0.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
66.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
35.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
68.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
23.0,44.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
23.0,44.0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
6.0,44.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43.0,49.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
46.0,49.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
17.0,49.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
13.0,49.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
20.0,25.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
76.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
33.0,48.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
12.0,48.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8.0,48.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
70.0,32.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
57.0,4.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
48.0,60.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
24.0,60.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
27.0,60.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
69.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
70.0,0.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
26.0,40.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
63.0,40.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
73.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
57.0,4.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33.0,44.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
25.0,44.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
58.0,44.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
58.0,30.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
29.0,30.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
55.0,30.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
34.0,50.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
34.0,50.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3.0,50.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
47.0,40.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
11.0,40.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10.0,40.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
65.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
58.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
63.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
24.0,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
26.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
54.0,12.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
81.0,0.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
60.0,40.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
58.0,40.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
69.0,0.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
63.0,0.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
90.0,0.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
43.0,54.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
31.0,54.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
10.0,54.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
9.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
59.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
55.0,48.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
57.0,48.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
22.0,48.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
16.0,48.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
13.0,48.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14.0,48.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
24.0,48.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
77.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
75.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
75.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
31.0,54.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
29.0,54.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
77.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
81.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
47.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
55.0,40.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25.0,40.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
51.0,45.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
27.0,45.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
37.0,4.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
17.0,4.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
12.0,4.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11.0,4.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55.0,46.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
49.0,46.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
11.0,46.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30.0,52.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
53.0,40.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
28.0,40.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
18.0,40.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
54.0,48.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
28.0,0.0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
8.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30.0,40.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
26.0,40.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
31.0,40.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6.0,40.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8.0,40.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,40.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
26.0,45.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
38.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
40.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
9.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
43.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
15.0,32.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
12.0,32.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
73.0,36.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
45.0,26.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
17.0,26.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
50.0,32.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
29.0,40.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
34.0,40.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
32.0,40.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
13.0,40.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11.0,40.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
66.0,18.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
35.0,18.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
63.0,18.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
38.0,21.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
12.0,21.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9.0,21.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21.0,20.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
32.0,20.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
50.0,20.0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11.0,20.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
18.0,20.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
46.0,20.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
28.0,45.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
85.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
21.0,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
42.0,32.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
39.0,32.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4.0,32.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
52.0,62.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
50.0,62.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
57.0,0.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
24.0,9.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
28.0,9.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
36.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
36.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
78.0,0.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
75.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
75.0,0.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
37.0,74.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
14.0,74.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4.0,74.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
73.0,0.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
35.0,84.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
17.0,84.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
15.0,84.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
6.0,84.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
77.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
67.0,48.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
31.0,40.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
23.0,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
34.0,30.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
39.0,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4.0,30.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
46.0,50.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
14.0,50.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
20.0,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
21.0,18.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
63.0,48.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
65.0,0.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
73.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
41.0,40.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
39.0,40.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
74.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
81.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
36.0,36.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
18.0,36.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
12.0,36.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11.0,36.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9.0,36.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7.0,36.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
52.0,0.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
82.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
29.0,72.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
31.0,72.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
71.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
74.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
39.0,76.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
12.0,76.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
34.0,40.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
37.0,76.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
39.0,76.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1.0,76.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
60.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
31.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
47.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
24.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
19.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
9.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
43.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33.0,90.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
70.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
61.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
71.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
42.0,38.0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
13.0,38.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
10.0,38.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
64.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
54.0,38.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,72.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2.0,72.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
43.0,48.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
36.0,48.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
51.0,35.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
46.0,35.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
11.0,35.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8.0,35.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
63.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
31.0,40.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
86.0,0.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
67.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
60.0,0.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
25.0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
76.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
9.0,13.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
42.0,13.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
46.0,40.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
18.0,40.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
38.0,40.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
64.0,60.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
63.0,40.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
61.0,54.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
74.0,54.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
35.0,54.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
8.0,54.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.0,54.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
45.0,58.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
43.0,45.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
81.0,45.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
70.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
66.0,0.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
35.0,0.0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
91.0,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
44.0,63.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
16.0,63.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
21.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
14.0,0.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
30.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,0.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
57.0,0.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
63.0,13.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
18.0,13.0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
12.0,13.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
41.0,16.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
16.0,16.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11.0,16.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
77.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
72.0,0.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
67.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
36.0,24.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
47.0,40.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
40.0,40.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
77.0,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
76.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
53.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
55.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
54.0,45.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
54.0,45.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
10.0,45.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26.0,40.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
45.0,58.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
9.0,58.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6.0,58.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48.0,30.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
49.0,30.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
17.0,30.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
12.0,30.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,0.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
44.0,55.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
27.0,55.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7.0,55.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
13.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
59.0,6.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
54.0,6.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
65.0,0.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
25.0,0.0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
9.0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45.0,0.0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3.0,0.0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
72.0,32.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
72.0,32.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
70.0,32.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
50.0,48.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
45.0,48.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
36.0,45.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
53.0,15.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
56.0,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
21.0,15.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
30.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
65.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
64.0,15.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
66.0,15.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29.0,15.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
24.0,15.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
34.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37.0,40.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
36.0,40.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10.0,40.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15.0,40.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2.0,40.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
67.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
37.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
40.0,0.0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
40.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3.0,0.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
46.0,56.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
54.0,56.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
17.0,56.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
54.0,40.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
19.0,40.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
24.0,30.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7.0,30.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19.0,30.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
71.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
65.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
79.0,0.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
7.0,48.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6.0,48.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25.0,44.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
47.0,48.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
18.0,48.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
